,Sun x,Sun y,Sun z,Magnetometer x,Magnetometer y,Magnetometer z,Earth x,Earth y,Earth z,Angular momentum of wheels x,Angular momentum of wheels y,Angular momentum of wheels z,Sun in view,Current fault
1261,0.0,0.0,0.0,1.3379557943004452e-06,-1.6500103833119824e-07,3.992169046703668e-07,-6731120.080014137,-891335.0351658226,1116418.1435653865,2.1221225121014833e-06,7.759258767474479e-07,-1.7352721583437623e-06,False,None
1262,0.0,0.0,0.0,1.3229012295553603e-06,-1.6425489395371303e-07,3.9471079157506526e-07,-6732559.273477168,-890339.111447251,1115414.7598655284,2.124470350188709e-06,7.771564700949085e-07,-1.738447613045073e-06,False,None
1263,0.0,0.0,0.0,1.2236304291708893e-06,-1.489863691233709e-07,3.647241083490173e-07,-6739595.901769326,-889342.3796313258,1122913.1130300923,2.1268173963950563e-06,7.783880355500499e-07,-1.7416261352466194e-06,False,None
1264,0.0,0.0,0.0,1.2349692687390908e-06,-1.4502349201677906e-07,3.653296116578313e-07,-6738844.947964883,-875915.731817873,1133074.33495276,2.1291636469156273e-06,7.796205769769815e-07,-1.7448077238490355e-06,False,None
1265,0.0,0.0,0.0,1.2956472403531858e-06,-1.4208365703163162e-07,3.8540449813302727e-07,-6729636.451936892,-891619.8833677109,1146615.394177842,2.1315090970861082e-06,7.808540978654239e-07,-1.7479923776747676e-06,False,None
1266,0.0,0.0,0.0,1.2124562559462655e-06,-1.3366199347468658e-07,3.604981208662375e-07,-6736564.373296701,-890507.4591522532,1147348.968492261,2.133853736482039e-06,7.820885914891107e-07,-1.7511800961346895e-06,False,None
1267,0.0,0.0,0.0,1.2899321876509578e-06,-1.3390015361394767e-07,3.8441464303856323e-07,-6727229.201857152,-900186.3832567435,1157403.7722707705,2.136197565378388e-06,7.833240607440212e-07,-1.7543708788605494e-06,False,None
1268,0.0,0.0,0.0,1.3883880921966253e-06,-1.3339072270433633e-07,4.0808378948993806e-07,-6720309.201137804,-877101.4145912346,1172874.3701919168,2.1385405762542058e-06,7.845604975457043e-07,-1.7575647258674392e-06,False,None
1269,0.0,0.0,0.0,1.2855287261137593e-06,-1.2848398408025084e-07,3.8243167778606353e-07,-6726328.520907314,-892998.6937140211,1170541.7612766332,2.1408827620324977e-06,7.857979022761212e-07,-1.7607616360342558e-06,False,None
1270,0.0,0.0,0.0,1.339410857930283e-06,-1.2820412311921435e-07,3.96062143014487e-07,-6722133.156619846,-888547.0170288091,1174648.196806921,2.143224121698091e-06,7.870362886961383e-07,-1.7639616072600526e-06,False,None
1271,0.0,0.0,0.0,1.3990836175871646e-06,-1.2824085171833291e-07,4.1253358929632383e-07,-6716770.260830542,-879143.0541595508,1187185.6284980592,2.145564653925976e-06,7.882756442733284e-07,-1.7671646411180196e-06,False,None
1272,0.0,0.0,0.0,1.3189873771562077e-06,-1.2145262996916163e-07,3.902256389825009e-07,-6721923.081736605,-889749.3754752273,1184320.1165312969,2.147904350837594e-06,7.895159820918517e-07,-1.770370734551001e-06,False,None
1273,0.0,0.0,0.0,1.2971179221749907e-06,-9.96518600009505e-08,3.802113761018053e-07,-6719249.896678032,-880370.1771721513,1218138.0679229514,2.1502432140805478e-06,7.907572937847845e-07,-1.7735798890001726e-06,False,None
1274,0.0,0.0,0.0,1.4537642052800441e-06,-1.1352398400173842e-07,4.270180289036063e-07,-6708102.4367082175,-879593.6968606598,1215249.7453844326,2.152581224552215e-06,7.919995812217043e-07,-1.7767921012392262e-06,False,None
1275,0.0,0.0,0.0,1.5763553390923718e-06,-1.236572024651205e-07,4.6261311229443447e-07,-6700769.52628559,-877346.2437998372,1212347.819262958,2.1549183823074076e-06,7.932428490472664e-07,-1.7800073706164036e-06,False,None
1276,0.0,0.0,0.0,1.430103685606888e-06,-1.2289163922800576e-07,4.2089728915925445e-07,-6712711.314625132,-881889.7035242193,1196296.8706055817,2.1572546886377193e-06,7.944870946286268e-07,-1.7832256977088966e-06,False,None
1277,0.0,0.0,0.0,1.3408779059920394e-06,-9.510038950575842e-08,3.9234746353037905e-07,-6713819.4388399655,-881584.4629252965,1229000.4306039023,2.1595901541509715e-06,7.957323140532397e-07,-1.7864470847219807e-06,False,None
1278,0.0,0.0,0.0,1.2568208701183801e-06,-8.606069721718005e-08,3.6781302399163054e-07,-6718998.797046527,-883142.9873308733,1236588.6879242477,2.1619247600566233e-06,7.96978505038039e-07,-1.7896715290402639e-06,False,None
1279,0.0,0.0,0.0,1.496269321997822e-06,-9.825677186781454e-08,4.405422035810712e-07,-6699129.866067239,-894711.3100409809,1238723.4072001416,2.1642585020932945e-06,7.982256710630181e-07,-1.7928990294955077e-06,False,None
1280,0.0,0.0,0.0,1.3414610665388836e-06,-7.957998453630382e-08,3.9232534100652004e-07,-6708538.884525309,-888812.3205941814,1253478.1416853205,2.166591375407533e-06,7.994738083937316e-07,-1.7961295858423543e-06,False,None
1281,0.0,0.0,0.0,1.2982851679815539e-06,-7.196730041719138e-08,3.7837164702598354e-07,-6710703.674617602,-881977.3922357872,1265374.018739928,2.1689233734697307e-06,8.007229146924597e-07,-1.7993631973625111e-06,False,None
1282,0.0,0.0,0.0,1.3865435466558675e-06,-8.245948633383583e-08,4.0682439627068965e-07,-6704374.25309297,-890072.6907099588,1256357.5108388457,2.171254489821719e-06,8.01972998077054e-07,-1.80259986186157e-06,False,None
1283,0.0,0.0,0.0,1.2303142608447658e-06,-6.06396549117365e-08,3.5795804825033156e-07,-6713561.0259752525,-885296.51850117,1278500.6798861916,2.173584727715652e-06,8.032240610887889e-07,-1.8058395795049248e-06,False,None
1284,0.0,0.0,0.0,1.2895959922074752e-06,-5.304364273807043e-08,3.7380612145137543e-07,-6705757.520608359,-881011.6759275687,1297382.4845403626,2.1759140765026853e-06,8.044760973656329e-07,-1.8090823494628686e-06,False,None
1285,0.0,0.0,0.0,1.2883193005548567e-06,-5.8233821786823446e-08,3.7451857204335284e-07,-6707081.536182393,-882924.5959446325,1289168.0862612156,2.1782425243788607e-06,8.057291114641806e-07,-1.812328169140124e-06,False,None
1286,0.0,0.0,0.0,1.3914726678179191e-06,-5.2294966665340875e-08,4.0377443835806235e-07,-6696262.257944499,-885375.4851579614,1303037.8795171534,2.1805700758795695e-06,8.069831056472097e-07,-1.8155770389655758e-06,False,None
1287,0.0,0.0,0.0,1.5800947376926828e-06,-5.942917097013342e-08,4.5870333613864926e-07,-6683851.030194964,-881709.3918536572,1302840.051297105,2.1828967216260308e-06,8.082380748561546e-07,-1.8188289581011695e-06,False,None
1288,0.0,0.0,0.0,1.483028032951555e-06,-5.1434686422290026e-08,4.3035472289986384e-07,-6688585.1201531,-885919.2062518372,1308879.3548465571,2.18522246014752e-06,8.094940246821709e-07,-1.822083925503945e-06,False,None
1289,0.0,0.0,0.0,1.3164805760821354e-06,-4.358953399867221e-08,3.804254084425178e-07,-6700514.239902717,-881475.3028199039,1313922.687310006,2.1875472883535107e-06,8.107509507711035e-07,-1.825341941276789e-06,False,None
1290,0.0,0.0,0.0,1.3289259795059906e-06,-3.492910374349967e-08,3.845851975845377e-07,-6695737.3921499485,-891489.9455144271,1327099.929604593,2.1898712055122e-06,8.120088518801573e-07,-1.8286030054735077e-06,False,None
1291,0.0,0.0,0.0,1.4750972328288554e-06,-3.694345543135447e-08,4.27492995847233e-07,-6684267.406348229,-887974.5699213756,1333099.4500911408,2.192194202539291e-06,8.132677223794218e-07,-1.831867117357256e-06,False,None
1292,0.0,0.0,0.0,1.3721351080835715e-06,-2.1410584224621625e-08,3.9278637095541386e-07,-6689706.305137377,-874943.293924458,1353052.0915126335,2.194516273784807e-06,8.145275763958014e-07,-1.8351342739525071e-06,False,None
1293,0.0,0.0,0.0,1.3527572077160993e-06,-2.4911378220683508e-08,3.8810107572276916e-07,-6692110.742449217,-878965.8593825586,1345463.513860525,2.1968374105415584e-06,8.157884069544447e-07,-1.8384044747607882e-06,False,None
1294,0.0,0.0,0.0,1.4057926118563564e-06,-1.5992077453010095e-08,4.0398144132562083e-07,-6684047.913954007,-887097.0456356225,1360949.7309827316,2.199157617349189e-06,8.170502098256493e-07,-1.841677721165478e-06,False,None
1295,0.0,0.0,0.0,1.3770337110420252e-06,-7.387468419802424e-09,3.9382946374622383e-07,-6683970.190891147,-882036.8359142878,1375798.697473353,2.20147688310313e-06,8.183129855635789e-07,-1.844954011168618e-06,False,None
1296,0.0,0.0,0.0,1.216665119523121e-06,-9.157016275630044e-09,3.5028809598592726e-07,-6695610.231459781,-897070.2340934799,1372109.658213388,2.2037951996348635e-06,8.195767365772981e-07,-1.8482333430001936e-06,False,None
1297,0.0,0.0,0.0,1.5573224551611452e-06,-9.275485177028228e-09,4.442792120187019e-07,-6673248.50911518,-875646.0358216584,1370874.5649732884,2.2061125690281576e-06,8.208414598095017e-07,-1.8515157174604432e-06,False,None
1298,0.0,0.0,0.0,1.2918068701530608e-06,5.192586474663688e-09,3.6790184663186115e-07,-6686288.112552712,-886031.0081910349,1395256.5442838091,2.2084289916759384e-06,8.221071544850065e-07,-1.8548011347281924e-06,False,None
1299,0.0,0.0,0.0,1.3747170017055758e-06,-2.4418192118264215e-10,3.9385804351735116e-07,-6680469.284531012,-887054.0186085718,1390753.3276545717,2.210744454322335e-06,8.233738157166566e-07,-1.8580895931584545e-06,False,None
1300,0.0,0.0,0.0,1.3840313731388448e-06,7.089070622859867e-09,3.9536484495597135e-07,-6677817.061762454,-889337.5964305159,1399250.3078646483,2.2130589573633226e-06,8.246414607128508e-07,-1.8613810903681765e-06,False,None
1301,0.0,0.0,0.0,1.1805663232561227e-06,4.804778655551236e-09,3.371944563449005e-07,-6694217.790491341,-891290.7882116743,1399520.9407378691,2.2153724959693143e-06,8.259100797041451e-07,-1.8646756268959485e-06,False,None
1302,0.0,0.0,0.0,1.3838090777777535e-06,7.0855412293651085e-09,3.9539227797464084e-07,-6677677.267399114,-888597.2284736498,1400460.4101335744,2.217685072050598e-06,8.271796719427946e-07,-1.8679732031888302e-06,False,None
1303,0.0,0.0,0.0,1.299745544415503e-06,1.6345035540621048e-08,3.7235197491007045e-07,-6678695.492266291,-903297.8198708065,1417831.3121415915,2.21999668281919e-06,8.284502415313315e-07,-1.871273818164322e-06,False,None
1304,0.0,0.0,0.0,1.3207736215132537e-06,1.537656043824491e-08,3.7279390353907973e-07,-6681972.858760093,-871936.9608045855,1414614.7775882804,2.2223073167869565e-06,8.297217855858107e-07,-1.8745774701685687e-06,False,None
1305,0.0,0.0,0.0,1.3555978435816115e-06,2.705403887109501e-08,3.8109707193946315e-07,-6675477.862545846,-870195.1255371929,1434293.3174090462,2.2246169802372256e-06,8.309943026626447e-07,-1.8778841605400921e-06,False,None
1306,0.0,0.0,0.0,1.2530119246516391e-06,2.8740690339069724e-08,3.550312162751084e-07,-6679514.989681538,-894788.7037234742,1438757.4471811866,2.2269256609446693e-06,8.322677953995798e-07,-1.8811938866914374e-06,False,None
1307,0.0,0.0,0.0,1.4468747389153054e-06,3.761306590906396e-08,4.0767792207887104e-07,-6664596.871335383,-877615.6738121532,1449364.1898962217,2.2292333547070216e-06,8.335422525322699e-07,-1.88450664945535e-06,False,None
1308,0.0,0.0,0.0,1.4302464528420319e-06,3.703339063653272e-08,4.063385457178029e-07,-6663656.376077114,-898140.802675298,1446228.6648639305,2.2315400541638627e-06,8.34817691336401e-07,-1.8878224450184604e-06,False,None
1309,0.0,0.0,0.0,1.2937354266941386e-06,4.282186277207524e-08,3.656059948342519e-07,-6670111.443468733,-892999.9935541606,1468579.2411529524,2.2338457591011516e-06,8.360941028821631e-07,-1.8911412746198377e-06,False,None
1310,0.0,0.0,0.0,1.2100274256835271e-06,5.120761879463424e-08,3.37326843768317e-07,-6675052.074623243,-878257.6905436775,1488420.0251934591,2.2361504574884454e-06,8.373714970390667e-07,-1.8944631346122218e-06,False,None
1311,0.0,0.0,0.0,1.3801850991289472e-06,5.5743740674336114e-08,3.848283149258832e-07,-6663241.644654432,-873700.1170821814,1481652.304987445,2.238454141057123e-06,8.386498656480849e-07,-1.8977880246153074e-06,False,None
1312,0.0,0.0,0.0,1.3376387816032576e-06,5.9481224210819917e-08,3.739401866236976e-07,-6662635.885096305,-882369.0020275306,1494170.5167953037,2.2407568124706367e-06,8.399292098563374e-07,-1.9011159449661354e-06,False,None
1313,0.0,0.0,0.0,1.2950818738819352e-06,6.675297097488353e-08,3.6133594990402874e-07,-6662039.102341398,-890380.4762168757,1507772.2028948655,2.2430584629703318e-06,8.41209535562929e-07,-1.904446893164362e-06,False,None
1314,0.0,0.0,0.0,1.2706308994384542e-06,6.568327399818715e-08,3.5312376277700875e-07,-6664713.258962904,-880135.8169952303,1511081.059112722,2.2453590844218245e-06,8.424908324267491e-07,-1.907780869143059e-06,False,None
1315,0.0,0.0,0.0,1.3813870830473763e-06,7.78552517623316e-08,3.8218703860196515e-07,-6654953.9234976685,-876701.4661046546,1517831.3821122823,2.2476586760777395e-06,8.437731075459454e-07,-1.9111178717434975e-06,False,None
1316,0.0,0.0,0.0,1.511975157592325e-06,8.426739140417662e-08,4.201403269174852e-07,-6645220.005784149,-882474.6088547187,1516053.8575241568,2.2499572335499254e-06,8.45056353979321e-07,-1.914457901117625e-06,False,None
1317,0.0,0.0,0.0,1.4232338423848222e-06,8.503703011436565e-08,3.938646034107114e-07,-6649630.752285306,-880653.7899579532,1525509.1430716787,2.252254755451967e-06,8.463405755098066e-07,-1.9178009564581006e-06,False,None
1318,0.0,0.0,0.0,1.3779028006753542e-06,8.150546353523357e-08,3.8330068082413413e-07,-6651466.701207325,-890628.3046229389,1526200.0906732115,2.254551237474885e-06,8.476257687658332e-07,-1.921147037415722e-06,False,None
1319,0.0,0.0,0.0,1.5194878508069643e-06,9.733650415269937e-08,4.2118020294852847e-07,-6639651.483527869,-886927.0385161934,1536229.28749777,2.2568466780186845e-06,8.489119373000655e-07,-1.924496143172785e-06,False,None
1320,0.0,0.0,0.0,1.426912781648198e-06,9.768225186234485e-08,3.955540657469488e-07,-6642558.282184316,-894244.4919324223,1547727.313611525,2.2591410699880084e-06,8.501990819023744e-07,-1.9278482722368005e-06,False,None
1321,0.0,0.0,0.0,1.4207445648347248e-06,1.0196310149178531e-07,3.902286771472869e-07,-6643400.451257123,-878245.3586000839,1555747.9284573544,2.261434406411237e-06,8.514872015221743e-07,-1.9312034233935638e-06,False,None
1322,0.0,0.0,0.0,1.4275689291259919e-06,1.0943686182289068e-07,3.934928407229262e-07,-6638720.370214821,-895350.8335037946,1563988.8509588144,2.263726684766e-06,8.527762966206694e-07,-1.934561596080717e-06,False,None
1323,0.0,0.0,0.0,1.6058123617458038e-06,1.1963762659569516e-07,4.4208253559469843e-07,-6629043.609045559,-884901.2088143494,1559695.3151422096,2.266017898213798e-06,8.540663576274187e-07,-1.9379227903133835e-06,False,None
